Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
Life As I Know It	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Simplicity and Frugality	3	2	0	3	7	1	5	4	7	9	2	8	3	1	6	2	2	8	4	3	2	6	2	1	10	6	1	4	2	4	2	0	11	3	4	1	6	0	1	1	1	4	6	0	2	1	2	3	1	2	5	11	7	2	0	2	4	0	3	17	1	6	14	4	1	4	1	2	3	1	0	1	9	2	4	17	0	1	0	6	3	1	1	2	0	6	0	1	4	0	4	10	2	1	1	4	1	0	0	5	0	1	3	1	1	4	1	10	0	4	2	5	3	1	0	2	2	3	6	2	0	10	5	0	2	1	2	1	0	0	1	11	2	0	1	4	4	4	1	0	8	1	7	0	1	1	0	5	0	1	2	3	0	4	1	0	0	1	4	10	12	1	0	0	0	1	2	8	0	1	1	1	7	4	0	0	4	1	2	1	2	3	4	2	4	1	1	0	0	2	13	2	0	2	2	3	4	0	3	3	1	3	2	0	2	5	3	1	1	4	1	7	0	2	0	1	0	3	0	2	4	0	6	5	3	1	1	2	0	2	0	0	0	2	2	1	1	1	7	2	5	0	2	0	6	2	5	1	2	2	1	0	1	0	0	2	0	2	0	3	0	0	2	1	0	0	1	1	1	6	0	2	4	3	0	0	0	1	6	0	1	0	0	3	2	0	2	1	0	0	3	2	3	1	2	0	0	0	1	1	4	3	2	2	2	1	0	0	0	4	7	0	0	3	2	0	1	0	0	0	0	2	4	9	0	0	5	0	2	0	1	0	0	4	2	1	2	1	14	3	1	3	0	0	0	3	1	0	8	3	0	0	0	0	0	2	3	1	0	0	2	1	5	0	0	0	0	0	3	0	3	2	0	0	4	0	0	1	3	2	0	1	0	0	0	3	0	2	0	0	2	0	0	1	2	0	0	0	0	0	3	0	0	4	0	0	2	1	1	3	1	1	3	1	3	0	0	1	0	1	3	3	0	3	2	3	0	0	1	1	0	3	2	3	3	4	1	1	0	0	2	5	1	0	0	1	0	2	0	1	3	0	1	0	0	0	0	0	3	1	1	0	0	4	0	1	7	1	3	3	8	0	0	0	0	1	0	5	2	1	2	0	0	0	1	0	4	0	0	0	0	4	1	0	1	0	1	0	0	2
One Day At A Time	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Domestic Adventures	2	0	0	2	1	1	3	4	0	3	1	1	0	0	3	0	2	0	2	0	1	4	0	1	1	0	1	0	2	2	0	2	1	2	1	1	3	0	1	1	2	0	1	0	1	0	5	0	0	0	1	2	0	1	0	3	3	2	0	0	1	0	4	0	2	0	0	1	2	0	0	2	3	1	0	0	0	1	1	0	1	0	0	4	0	0	0	0	0	1	0	2	0	1	0	0	3	1	0	0	1	0	0	0	0	1	1	1	0	0	1	3	1	0	2	0	3	0	1	1	1	0	2	0	0	4	0	0	2	0	0	0	0	3	0	0	1	2	1	1	1	1	0	0	0	0	4	1	8	3	1	0	0	6	1	0	0	1	5	3	2	2	3	1	0	0	1	2	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	7	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	3	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	4	2	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	1	2	0	1	0	0	4	0	3	1	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	6	0	0	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	4	1	0	1	0	2	0	0	0	2	1	1	1	0	1	1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	3	2	0	0	0	0	2	0	5	0	2	1	2	0	3	0	0	3	0	0	0	0	1	0	1	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	4	4	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	3	0
with too much, too little.	0	0	0	0	1	0	1	0	0	1	3	1	1	3	2	0	1	1	0	0	0	2	3	1	3	1	1	0	0	1	2	2	0	0	1	0	0	1	0	0	0	3	2	0	0	0	1	0	1	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	2	2	0	0	2	1	0	0	1	1	1	0	2	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	2	0	1	1	1	1	0	0	0	4	0	0	1	1	0	1	0	0	0	1	2	0	2	1	1	0	0	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	6	1	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Notice: Nicole	0	5	2	1	0	1	0	0	2	3	3	0	7	2	2	1	1	1	1	4	3	3	1	1	0	4	0	3	2	1	0	1	2	3	2	0	2	0	1	1	0	1	0	1	2	2	2	0	2	0	3	2	0	0	2	0	1	2	0	0	5	1	0	0	1	0	0	2	1	4	5	1	0	0	2	1	0	7	0	2	0	1	1	1	0	1	1	1	0	0	1	2	3	3	0	0	1	0	0	1	6	1	0	2	0	2	4	1	0	0	2	3	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	2	0	1	1	0	2	0	1	0	2	1	3	0	0	0	0	1	0	1	0	0	0	3	0	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	3	0	0	1	0	2	0	2	1	2	0	3	0	3	1	2	0	0	1	0	0	0	6	0	1	1	0	1	0	1	0	0	0	0	0	2	0	2	0	1	0	1	1	0	0	2	0	0	0	1	0	1	0	0	0	2	1	3	0	1	1	1	0	0	2	1	0	1	0	0	1	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	0	0	1	0	1	1	2	0	0	0	0	3	1	2	0	0	2	3	2	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	4	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	1	2	0	2	0	0	2	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	3	0	0	0	1	0	2	1	1	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0
Brad & Mary	0	0	2	0	1	3	2	0	1	1	0	0	4	0	0	2	1	0	0	1	1	2	3	1	0	0	5	0	1	0	0	7	3	6	2	2	1	1	0	2	1	4	1	0	5	1	0	4	0	0	1	3	2	0	4	1	1	2	1	2	3	8	3	1	10	2	0	0	1	1	0	2	1	2	2	1	0	4	1	0	0	0	1	0	2	1	0	1	1	2	1	0	3	0	3	0	2	0	4	2	5	1	4	1	1	2	0	1	1	2	0	1	1	0	0	1	0	1	1	1	0	3	0	2	5	0	1	4	1	3	0	0	2	0	0	0	4	1	1	0	10	0	1	0	5	0	0	0	0	3	2	4	0	1	0	0	0	0	0	3	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	3	0	4	0	5	0	0	0	2	0	0	1	0	0	1	2	0	1	1	0	0	8	0	0	1	1	1	2	0	11	2	1	3	2	0	4	4	0	0	0	0	0	0	14	2	0	0	1	1	0	0	0	1	1	0	0	1	0	0	4	0	0	1	0	0	1	0	0	0	1	0	2	0	2	0	1	1	0	2	0	1	3	0	0	1	0	0	1	2	0	0	3	2	0	0	0	3	1	0	0	2	0	0	2	1	0	0	1	1	0	1	3	0	1	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	3	0	2	0	2	1	3	0	1	2	2	2	0	7	4	2	2	2	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	2	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	2	0	0	0	0	0	3	1	0	0	0	0	1	1	1	2	0	0	0	0	0	0	1	1	2	2	3	1	0	2	0	1	4	4	1	2	1	9	0	0	0	1	0	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	1	4	0	1	1	0	0	1	0	0	0	1	0	0	0
the belfry chronicles	1	5	1	2	1	0	2	1	0	4	0	2	5	1	0	1	3	0	2	1	1	1	1	1	0	2	0	0	2	2	2	0	2	1	0	2	2	2	2	0	1	0	3	0	0	0	0	0	3	1	0	3	1	1	0	1	1	1	0	0	2	0	0	2	2	1	1	1	1	0	3	2	0	2	2	2	0	0	1	1	0	3	1	1	1	0	0	0	1	0	0	5	0	0	0	3	1	2	2	0	0	0	0	1	1	1	3	1	0	0	1	0	0	0	2	0	2	2	3	0	0	0	0	2	0	2	1	0	0	0	1	0	1	0	0	1	0	4	4	0	1	1	0	2	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	2	0	0	2	2	1	0	5	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	1	3	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	3	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	0	1	3	0	1	1	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0
PooLovesBoo	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	2	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
Mary's Tales	0	0	0	1	0	1	0	0	0	2	0	3	0	0	1	0	1	0	2	1	1	4	3	0	2	1	0	1	0	1	0	0	4	1	5	2	0	0	0	0	1	0	2	0	0	0	2	1	2	0	0	0	3	1	2	1	0	0	1	2	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	3	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	4	0	2	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	1	0	1	0	0	0	0	0	2	0	1	0	4	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	1	1	0	1	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	1	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0
The Edens	3	0	2	0	0	3	1	3	2	0	1	2	1	7	0	0	0	2	0	7	0	0	1	3	2	0	1	0	0	0	0	7	1	0	1	1	0	1	0	1	1	0	2	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	1	2	1	0	1	4	0	0	0	0	1	0	1	0	0	0	0	3	1	2	0	4	1	2	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	3	0	0	1	1	5	0	4	1	2	0	1	1	0	0	1	0	0	2	2	1	0	1	0	0	3	0	2	0	3	0	0	0	1	0	2	2	0	0	1	0	4	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	4	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	3	0	2	0	0	4	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	4	1	0	1	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	8	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	1	3	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1
KikiMin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
